Sentence,LenFacScore,Score,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
the cars roll .,-18.4848024401635,-92.42401220081749,good,inchoative,146,syntax,argument_structure,bigram7,-18.4848024401635,-18.538276149478268,TRUE
the cars looked like .,-18.538276149478268,-111.22965689686961,bad,inchoative,146,syntax,argument_structure,bigram7,-18.4848024401635,-18.538276149478268,TRUE
the cars roll .,-18.374565122575,-91.872825612875,good,inchoative,146,syntax,argument_structure,bigram8,-18.374565122575,-18.41930680121929,TRUE
the cars looked like .,-18.41930680121929,-110.51584080731573,bad,inchoative,146,syntax,argument_structure,bigram8,-18.374565122575,-18.41930680121929,TRUE
the cars roll .,-18.47139676968624,-92.35698384843118,good,inchoative,146,syntax,argument_structure,bigram9,-18.47139676968624,-18.5566267335676,TRUE
the cars looked like .,-18.5566267335676,-111.33976040140561,bad,inchoative,146,syntax,argument_structure,bigram9,-18.47139676968624,-18.5566267335676,TRUE
Name had scared .,-17.812552894640188,-89.06276447320094,bad,inchoative,156,syntax,argument_structure,bigram1,-17.41255289464019,-17.812552894640188,TRUE
Name had hurt .,-17.41255289464019,-87.06276447320094,good,inchoative,156,syntax,argument_structure,bigram1,-17.41255289464019,-17.812552894640188,TRUE
Name had scared .,-17.973335823632585,-89.86667911816292,bad,inchoative,156,syntax,argument_structure,bigram10,-17.256343323488352,-17.973335823632585,TRUE
Name had hurt .,-17.256343323488352,-86.28171661744176,good,inchoative,156,syntax,argument_structure,bigram10,-17.256343323488352,-17.973335823632585,TRUE
Name had scared .,-17.761778055838796,-88.80889027919399,bad,inchoative,156,syntax,argument_structure,bigram2,-17.097392436861323,-17.761778055838796,TRUE
Name had hurt .,-17.097392436861323,-85.48696218430662,good,inchoative,156,syntax,argument_structure,bigram2,-17.097392436861323,-17.761778055838796,TRUE
Name had scared .,-17.85724615481237,-89.28623077406185,bad,inchoative,156,syntax,argument_structure,bigram3,-17.34025365466814,-17.85724615481237,TRUE
Name had hurt .,-17.34025365466814,-86.7012682733407,good,inchoative,156,syntax,argument_structure,bigram3,-17.34025365466814,-17.85724615481237,TRUE
Name had scared .,-17.993252681680442,-89.96626340840221,bad,inchoative,156,syntax,argument_structure,bigram4,-17.328867062702972,-17.993252681680442,TRUE
Name had hurt .,-17.328867062702972,-86.64433531351486,good,inchoative,156,syntax,argument_structure,bigram4,-17.328867062702972,-17.993252681680442,TRUE
Name had scared .,-17.76919501485002,-88.8459750742501,bad,inchoative,156,syntax,argument_structure,bigram5,-17.0291070712218,-17.76919501485002,TRUE
Name had hurt .,-17.0291070712218,-85.14553535610901,good,inchoative,156,syntax,argument_structure,bigram5,-17.0291070712218,-17.76919501485002,TRUE
Name had scared .,-17.892189597738312,-89.46094798869156,bad,inchoative,156,syntax,argument_structure,bigram6,-17.29218959773831,-17.892189597738312,TRUE
Name had hurt .,-17.29218959773831,-86.46094798869156,good,inchoative,156,syntax,argument_structure,bigram6,-17.29218959773831,-17.892189597738312,TRUE
Name had scared .,-17.902295008413567,-89.51147504206783,bad,inchoative,156,syntax,argument_structure,bigram7,-17.302295008413566,-17.902295008413567,TRUE
Name had hurt .,-17.302295008413566,-86.51147504206783,good,inchoative,156,syntax,argument_structure,bigram7,-17.302295008413566,-17.902295008413567,TRUE
Name had scared .,-17.88037354817133,-89.40186774085666,bad,inchoative,156,syntax,argument_structure,bigram8,-17.246388547882873,-17.88037354817133,TRUE
Name had hurt .,-17.246388547882873,-86.23194273941436,good,inchoative,156,syntax,argument_structure,bigram8,-17.246388547882873,-17.88037354817133,TRUE
Name had scared .,-17.878690031391464,-89.39345015695733,bad,inchoative,156,syntax,argument_structure,bigram9,-17.138602087763246,-17.878690031391464,TRUE
Name had hurt .,-17.138602087763246,-85.69301043881623,good,inchoative,156,syntax,argument_structure,bigram9,-17.138602087763246,-17.878690031391464,TRUE
some banana was growing .,-19.74731815452721,-118.48390892716326,good,inchoative,174,syntax,argument_structure,bigram1,-19.74731815452721,-19.74731815452721,FALSE
some banana was buying .,-19.74731815452721,-118.48390892716326,bad,inchoative,174,syntax,argument_structure,bigram1,-19.74731815452721,-19.74731815452721,FALSE
some banana was growing .,-19.761602852376704,-118.56961711426023,good,inchoative,174,syntax,argument_structure,bigram10,-19.761602852376704,-19.761602852376704,FALSE
some banana was buying .,-19.761602852376704,-118.56961711426023,bad,inchoative,174,syntax,argument_structure,bigram10,-19.761602852376704,-19.761602852376704,FALSE
some banana was growing .,-19.54326846428417,-117.25961078570505,good,inchoative,174,syntax,argument_structure,bigram2,-19.54326846428417,-19.709935130950843,TRUE
some banana was buying .,-19.709935130950843,-118.25961078570505,bad,inchoative,174,syntax,argument_structure,bigram2,-19.54326846428417,-19.709935130950843,TRUE
some banana was growing .,-19.547921860955334,-117.28753116573202,good,inchoative,174,syntax,argument_structure,bigram3,-19.547921860955334,-19.714588527622,TRUE
some banana was buying .,-19.714588527622,-118.28753116573202,bad,inchoative,174,syntax,argument_structure,bigram3,-19.547921860955334,-19.714588527622,TRUE
some banana was growing .,-19.679117253244577,-118.07470351946746,good,inchoative,174,syntax,argument_structure,bigram4,-19.679117253244577,-19.845783919911245,TRUE
some banana was buying .,-19.845783919911245,-119.07470351946746,bad,inchoative,174,syntax,argument_structure,bigram4,-19.679117253244577,-19.845783919911245,TRUE
some banana was growing .,-19.82806748391501,-118.96840490349005,good,inchoative,174,syntax,argument_structure,bigram5,-19.82806748391501,-19.82806748391501,FALSE
some banana was buying .,-19.82806748391501,-118.96840490349005,bad,inchoative,174,syntax,argument_structure,bigram5,-19.82806748391501,-19.82806748391501,FALSE
some banana was growing .,-19.709974199282517,-118.25984519569508,good,inchoative,174,syntax,argument_structure,bigram6,-19.709974199282517,-19.709974199282517,FALSE
some banana was buying .,-19.709974199282517,-118.25984519569508,bad,inchoative,174,syntax,argument_structure,bigram6,-19.709974199282517,-19.709974199282517,FALSE
some banana was growing .,-19.645935004579982,-117.87561002747992,good,inchoative,174,syntax,argument_structure,bigram7,-19.645935004579982,-19.812601671246654,TRUE
some banana was buying .,-19.812601671246654,-118.87561002747992,bad,inchoative,174,syntax,argument_structure,bigram7,-19.645935004579982,-19.812601671246654,TRUE
some banana was growing .,-19.68631280356597,-118.11787682139581,good,inchoative,174,syntax,argument_structure,bigram8,-19.68631280356597,-19.85297947023264,TRUE
some banana was buying .,-19.85297947023264,-119.11787682139581,bad,inchoative,174,syntax,argument_structure,bigram8,-19.68631280356597,-19.85297947023264,TRUE
some banana was growing .,-19.722134606793976,-118.33280764076385,good,inchoative,174,syntax,argument_structure,bigram9,-19.722134606793976,-19.88880127346064,TRUE
some banana was buying .,-19.88880127346064,-119.33280764076385,bad,inchoative,174,syntax,argument_structure,bigram9,-19.722134606793976,-19.88880127346064,TRUE
Name will n't sound like .,-17.589046214210324,-123.12332349947228,bad,inchoative,182,syntax,argument_structure,bigram1,-16.81843493719432,-17.589046214210324,TRUE
Name will n't wake up .,-16.81843493719432,-117.72904456036022,good,inchoative,182,syntax,argument_structure,bigram1,-16.81843493719432,-17.589046214210324,TRUE
Name will n't sound like .,-17.83333045562821,-124.83331318939747,bad,inchoative,182,syntax,argument_structure,bigram10,-16.903645507028394,-17.83333045562821,TRUE
Name will n't wake up .,-16.903645507028394,-118.32551854919876,good,inchoative,182,syntax,argument_structure,bigram10,-16.903645507028394,-17.83333045562821,TRUE
Name will n't sound like .,-17.63799816237699,-123.46598713663894,bad,inchoative,182,syntax,argument_structure,bigram2,-16.646210375899958,-17.63799816237699,TRUE
Name will n't wake up .,-16.646210375899958,-116.52347263129971,good,inchoative,182,syntax,argument_structure,bigram2,-16.646210375899958,-17.63799816237699,TRUE
Name will n't sound like .,-17.570835995936022,-122.99585197155216,bad,inchoative,182,syntax,argument_structure,bigram3,-16.819780589837073,-17.570835995936022,TRUE
Name will n't wake up .,-16.819780589837073,-117.7384641288595,good,inchoative,182,syntax,argument_structure,bigram3,-16.819780589837073,-17.570835995936022,TRUE
Name will n't sound like .,-17.636419105143542,-123.45493373600479,bad,inchoative,182,syntax,argument_structure,bigram4,-16.857674660596068,-17.636419105143542,TRUE
Name will n't wake up .,-16.857674660596068,-118.00372262417247,good,inchoative,182,syntax,argument_structure,bigram4,-16.857674660596068,-17.636419105143542,TRUE
Name will n't sound like .,-17.600650542434533,-123.20455379704174,bad,inchoative,182,syntax,argument_structure,bigram5,-16.739872370154472,-17.600650542434533,TRUE
Name will n't wake up .,-16.739872370154472,-117.17910659108131,good,inchoative,182,syntax,argument_structure,bigram5,-16.739872370154472,-17.600650542434533,TRUE
Name will n't sound like .,-17.69849435292735,-123.88946047049146,bad,inchoative,182,syntax,argument_structure,bigram6,-16.811739277363607,-17.69849435292735,TRUE
Name will n't wake up .,-16.811739277363607,-117.68217494154524,good,inchoative,182,syntax,argument_structure,bigram6,-16.811739277363607,-17.69849435292735,TRUE
Name will n't sound like .,-17.638133657533043,-123.4669356027313,bad,inchoative,182,syntax,argument_structure,bigram7,-16.767488286278144,-17.638133657533043,TRUE
Name will n't wake up .,-16.767488286278144,-117.372418003947,good,inchoative,182,syntax,argument_structure,bigram7,-16.767488286278144,-17.638133657533043,TRUE
Name will n't sound like .,-17.722648787094073,-124.05854150965851,bad,inchoative,182,syntax,argument_structure,bigram8,-16.917209667496827,-17.722648787094073,TRUE
Name will n't wake up .,-16.917209667496827,-118.4204676724778,good,inchoative,182,syntax,argument_structure,bigram8,-16.917209667496827,-17.722648787094073,TRUE
Name will n't sound like .,-17.66843150996523,-123.67902056975662,bad,inchoative,182,syntax,argument_structure,bigram9,-16.94745710185766,-17.66843150996523,TRUE
Name will n't wake up .,-16.94745710185766,-118.63219971300362,good,inchoative,182,syntax,argument_structure,bigram9,-16.94745710185766,-17.66843150996523,TRUE
these gloves like .,-18.61586728556945,-93.07933642784725,bad,inchoative,184,syntax,argument_structure,bigram1,-19.080252904546924,-18.61586728556945,FALSE
these gloves twist .,-19.080252904546924,-95.40126452273462,good,inchoative,184,syntax,argument_structure,bigram1,-19.080252904546924,-18.61586728556945,FALSE
these gloves like .,-18.981667653960024,-94.90833826980013,bad,inchoative,184,syntax,argument_structure,bigram10,-19.298660154104255,-18.981667653960024,FALSE
these gloves twist .,-19.298660154104255,-96.49330077052129,good,inchoative,184,syntax,argument_structure,bigram10,-19.298660154104255,-18.981667653960024,FALSE
these gloves like .,-18.718898129722213,-93.59449064861106,bad,inchoative,184,syntax,argument_structure,bigram2,-19.183283748699687,-18.718898129722213,FALSE
these gloves twist .,-19.183283748699687,-95.91641874349843,good,inchoative,184,syntax,argument_structure,bigram2,-19.183283748699687,-18.718898129722213,FALSE
these gloves like .,-18.714722671410467,-93.57361335705234,bad,inchoative,184,syntax,argument_structure,bigram3,-19.11472267141047,-18.714722671410467,FALSE
these gloves twist .,-19.11472267141047,-95.57361335705234,good,inchoative,184,syntax,argument_structure,bigram3,-19.11472267141047,-18.714722671410467,FALSE
these gloves like .,-18.93132454019016,-94.65662270095079,bad,inchoative,184,syntax,argument_structure,bigram4,-19.33132454019016,-18.93132454019016,FALSE
these gloves twist .,-19.33132454019016,-96.65662270095079,good,inchoative,184,syntax,argument_structure,bigram4,-19.33132454019016,-18.93132454019016,FALSE
these gloves like .,-18.778437925846585,-93.89218962923293,bad,inchoative,184,syntax,argument_structure,bigram5,-19.178437925846588,-18.778437925846585,FALSE
these gloves twist .,-19.178437925846588,-95.89218962923293,good,inchoative,184,syntax,argument_structure,bigram5,-19.178437925846588,-18.778437925846585,FALSE
these gloves like .,-18.632277541366527,-93.16138770683264,bad,inchoative,184,syntax,argument_structure,bigram6,-19.14927004151076,-18.632277541366527,FALSE
these gloves twist .,-19.14927004151076,-95.7463502075538,good,inchoative,184,syntax,argument_structure,bigram6,-19.14927004151076,-18.632277541366527,FALSE
these gloves like .,-18.637909389436096,-93.18954694718047,bad,inchoative,184,syntax,argument_structure,bigram7,-19.154901889580323,-18.637909389436096,FALSE
these gloves twist .,-19.154901889580323,-95.77450944790162,good,inchoative,184,syntax,argument_structure,bigram7,-19.154901889580323,-18.637909389436096,FALSE
these gloves like .,-18.704576628363604,-93.52288314181803,bad,inchoative,184,syntax,argument_structure,bigram8,-19.16896224734108,-18.704576628363604,FALSE
these gloves twist .,-19.16896224734108,-95.8448112367054,good,inchoative,184,syntax,argument_structure,bigram8,-19.16896224734108,-18.704576628363604,FALSE
these gloves like .,-18.73624739925296,-93.68123699626479,bad,inchoative,184,syntax,argument_structure,bigram9,-19.13624739925296,-18.73624739925296,FALSE
these gloves twist .,-19.13624739925296,-95.68123699626479,good,inchoative,184,syntax,argument_structure,bigram9,-19.13624739925296,-18.73624739925296,FALSE
Name sits down .,-17.178567894351726,-85.89283947175863,good,inchoative,185,syntax,argument_structure,bigram1,-17.178567894351726,-17.812552894640188,TRUE
Name works with .,-17.812552894640188,-89.06276447320094,bad,inchoative,185,syntax,argument_structure,bigram1,-17.178567894351726,-17.812552894640188,TRUE
Name sits down .,-17.29948906169944,-86.4974453084972,good,inchoative,185,syntax,argument_structure,bigram10,-17.29948906169944,-17.890328323776817,TRUE
Name works with .,-17.890328323776817,-89.45164161888408,bad,inchoative,185,syntax,argument_structure,bigram10,-17.29948906169944,-17.890328323776817,TRUE
Name sits down .,-17.200307071427275,-86.00153535713638,good,inchoative,185,syntax,argument_structure,bigram2,-17.200307071427275,-17.844785555694564,TRUE
Name works with .,-17.844785555694564,-89.22392777847283,bad,inchoative,185,syntax,argument_structure,bigram2,-17.200307071427275,-17.844785555694564,TRUE
Name sits down .,-17.192860535834896,-85.96430267917448,good,inchoative,185,syntax,argument_structure,bigram3,-17.192860535834896,-17.909853035979125,TRUE
Name works with .,-17.909853035979125,-89.54926517989563,bad,inchoative,185,syntax,argument_structure,bigram3,-17.192860535834896,-17.909853035979125,TRUE
Name sits down .,-17.306660800225224,-86.53330400112611,good,inchoative,185,syntax,argument_structure,bigram4,-17.306660800225224,-17.857638300657918,TRUE
Name works with .,-17.857638300657918,-89.28819150328958,bad,inchoative,185,syntax,argument_structure,bigram4,-17.306660800225224,-17.857638300657918,TRUE
Name sits down .,-17.183047547337445,-85.91523773668722,good,inchoative,185,syntax,argument_structure,bigram5,-17.183047547337445,-18.05220251470579,TRUE
Name works with .,-18.05220251470579,-90.26101257352894,bad,inchoative,185,syntax,argument_structure,bigram5,-17.183047547337445,-18.05220251470579,TRUE
Name sits down .,-17.2862401290595,-86.4312006452975,good,inchoative,185,syntax,argument_structure,bigram6,-17.2862401290595,-17.77519709759408,TRUE
Name works with .,-17.77519709759408,-88.8759854879704,bad,inchoative,185,syntax,argument_structure,bigram6,-17.2862401290595,-17.77519709759408,TRUE
Name sits down .,-17.385302508269337,-86.92651254134668,good,inchoative,185,syntax,argument_structure,bigram7,-17.385302508269337,-17.985302508269335,TRUE
Name works with .,-17.985302508269335,-89.92651254134668,bad,inchoative,185,syntax,argument_structure,bigram7,-17.385302508269337,-17.985302508269335,TRUE
Name sits down .,-17.192892485709876,-85.96446242854938,good,inchoative,185,syntax,argument_structure,bigram8,-17.192892485709876,-17.932980429338095,TRUE
Name works with .,-17.932980429338095,-89.66490214669048,bad,inchoative,185,syntax,argument_structure,bigram8,-17.192892485709876,-17.932980429338095,TRUE
Name sits down .,-17.24016101580299,-86.20080507901494,good,inchoative,185,syntax,argument_structure,bigram9,-17.24016101580299,-17.840161015802988,TRUE
Name works with .,-17.840161015802988,-89.20080507901494,bad,inchoative,185,syntax,argument_structure,bigram9,-17.24016101580299,-17.840161015802988,TRUE
this window had opened .,-19.453062363466717,-116.71837418080028,good,inchoative,189,syntax,argument_structure,bigram1,-19.453062363466717,-19.61972903013338,TRUE
this window had found .,-19.61972903013338,-117.71837418080028,bad,inchoative,189,syntax,argument_structure,bigram1,-19.453062363466717,-19.61972903013338,TRUE
this window had opened .,-19.451798862870152,-116.71079317722092,good,inchoative,189,syntax,argument_structure,bigram10,-19.451798862870152,-19.61846552953682,TRUE
this window had found .,-19.61846552953682,-117.71079317722092,bad,inchoative,189,syntax,argument_structure,bigram10,-19.451798862870152,-19.61846552953682,TRUE
this window had opened .,-19.40707914047581,-116.44247484285485,good,inchoative,189,syntax,argument_structure,bigram2,-19.40707914047581,-19.57374580714248,TRUE
this window had found .,-19.57374580714248,-117.44247484285485,bad,inchoative,189,syntax,argument_structure,bigram2,-19.40707914047581,-19.57374580714248,TRUE
this window had opened .,-19.46546107899708,-116.79276647398245,good,inchoative,189,syntax,argument_structure,bigram3,-19.46546107899708,-19.63212774566374,TRUE
this window had found .,-19.63212774566374,-117.79276647398245,bad,inchoative,189,syntax,argument_structure,bigram3,-19.46546107899708,-19.63212774566374,TRUE
this window had opened .,-19.463420069177165,-116.780520415063,good,inchoative,189,syntax,argument_structure,bigram4,-19.463420069177165,-19.630086735843832,TRUE
this window had found .,-19.630086735843832,-117.780520415063,bad,inchoative,189,syntax,argument_structure,bigram4,-19.463420069177165,-19.630086735843832,TRUE
this window had opened .,-19.45688933249069,-116.74133599494414,good,inchoative,189,syntax,argument_structure,bigram5,-19.45688933249069,-19.62355599915736,TRUE
this window had found .,-19.62355599915736,-117.74133599494414,bad,inchoative,189,syntax,argument_structure,bigram5,-19.45688933249069,-19.62355599915736,TRUE
this window had opened .,-19.43074456662528,-116.5844673997517,good,inchoative,189,syntax,argument_structure,bigram6,-19.43074456662528,-19.59741123329195,TRUE
this window had found .,-19.59741123329195,-117.5844673997517,bad,inchoative,189,syntax,argument_structure,bigram6,-19.43074456662528,-19.59741123329195,TRUE
this window had opened .,-19.48591712576724,-116.91550275460344,good,inchoative,189,syntax,argument_structure,bigram7,-19.48591712576724,-19.652583792433905,TRUE
this window had found .,-19.652583792433905,-117.91550275460344,bad,inchoative,189,syntax,argument_structure,bigram7,-19.48591712576724,-19.652583792433905,TRUE
this window had opened .,-19.644389675733308,-117.86633805439985,good,inchoative,189,syntax,argument_structure,bigram8,-19.644389675733308,-19.644389675733308,FALSE
this window had found .,-19.644389675733308,-117.86633805439985,bad,inchoative,189,syntax,argument_structure,bigram8,-19.644389675733308,-19.644389675733308,FALSE
this window had opened .,-19.48399405699333,-116.90396434195998,good,inchoative,189,syntax,argument_structure,bigram9,-19.48399405699333,-19.65066072366,TRUE
this window had found .,-19.65066072366,-117.90396434195998,bad,inchoative,189,syntax,argument_structure,bigram9,-19.48399405699333,-19.65066072366,TRUE
these feet have bought .,-19.891067567235552,-119.34640540341331,bad,inchoative,209,syntax,argument_structure,bigram1,-19.724400900568885,-19.891067567235552,TRUE
these feet have cracked .,-19.724400900568885,-118.34640540341331,good,inchoative,209,syntax,argument_structure,bigram1,-19.724400900568885,-19.891067567235552,TRUE
these feet have bought .,-19.90871002727034,-119.45226016362206,bad,inchoative,209,syntax,argument_structure,bigram10,-19.74204336060368,-19.90871002727034,TRUE
these feet have cracked .,-19.74204336060368,-118.45226016362206,good,inchoative,209,syntax,argument_structure,bigram10,-19.74204336060368,-19.90871002727034,TRUE
these feet have bought .,-19.9740955477377,-119.8445732864262,bad,inchoative,209,syntax,argument_structure,bigram2,-19.807428881071036,-19.9740955477377,TRUE
these feet have cracked .,-19.807428881071036,-118.8445732864262,good,inchoative,209,syntax,argument_structure,bigram2,-19.807428881071036,-19.9740955477377,TRUE
these feet have bought .,-19.92076172717215,-119.5245703630329,bad,inchoative,209,syntax,argument_structure,bigram3,-19.75409506050548,-19.92076172717215,TRUE
these feet have cracked .,-19.75409506050548,-118.5245703630329,good,inchoative,209,syntax,argument_structure,bigram3,-19.75409506050548,-19.92076172717215,TRUE
these feet have bought .,-19.93483999118644,-119.60903994711865,bad,inchoative,209,syntax,argument_structure,bigram4,-19.768173324519772,-19.93483999118644,TRUE
these feet have cracked .,-19.768173324519772,-118.60903994711865,good,inchoative,209,syntax,argument_structure,bigram4,-19.768173324519772,-19.93483999118644,TRUE
these feet have bought .,-19.973812336901037,-119.8428740214062,bad,inchoative,209,syntax,argument_structure,bigram5,-19.80714567023437,-19.973812336901037,TRUE
these feet have cracked .,-19.80714567023437,-118.8428740214062,good,inchoative,209,syntax,argument_structure,bigram5,-19.80714567023437,-19.973812336901037,TRUE
these feet have bought .,-19.94701303272969,-119.68207819637813,bad,inchoative,209,syntax,argument_structure,bigram6,-19.94701303272969,-19.94701303272969,FALSE
these feet have cracked .,-19.94701303272969,-119.68207819637813,good,inchoative,209,syntax,argument_structure,bigram6,-19.94701303272969,-19.94701303272969,FALSE
these feet have bought .,-19.95834652423268,-119.75007914539609,bad,inchoative,209,syntax,argument_structure,bigram7,-19.791679857566013,-19.95834652423268,TRUE
these feet have cracked .,-19.791679857566013,-118.75007914539609,good,inchoative,209,syntax,argument_structure,bigram7,-19.791679857566013,-19.95834652423268,TRUE
these feet have bought .,-19.968292421005582,-119.80975452603349,bad,inchoative,209,syntax,argument_structure,bigram8,-19.801625754338914,-19.968292421005582,TRUE
these feet have cracked .,-19.801625754338914,-118.80975452603349,good,inchoative,209,syntax,argument_structure,bigram8,-19.801625754338914,-19.968292421005582,TRUE
these feet have bought .,-19.94400225820653,-119.66401354923921,bad,inchoative,209,syntax,argument_structure,bigram9,-19.77733559153987,-19.94400225820653,TRUE
these feet have cracked .,-19.77733559153987,-118.66401354923921,good,inchoative,209,syntax,argument_structure,bigram9,-19.77733559153987,-19.94400225820653,TRUE
Name did n't kiss .,-16.99210381972974,-101.95262291837844,bad,inchoative,23,syntax,argument_structure,bigram1,-15.960115932960122,-16.99210381972974,TRUE
Name did n't sit down .,-15.960115932960122,-111.72081153072085,good,inchoative,23,syntax,argument_structure,bigram1,-15.960115932960122,-16.99210381972974,TRUE
Name did n't kiss .,-17.138547512400805,-102.83128507440483,bad,inchoative,23,syntax,argument_structure,bigram10,-16.178726522342508,-17.138547512400805,TRUE
Name did n't sit down .,-16.178726522342508,-113.25108565639756,good,inchoative,23,syntax,argument_structure,bigram10,-16.178726522342508,-17.138547512400805,TRUE
Name did n't kiss .,-16.97301093624987,-101.83806561749923,bad,inchoative,23,syntax,argument_structure,bigram2,-15.951379602854589,-16.97301093624987,TRUE
Name did n't sit down .,-15.951379602854589,-111.65965721998211,good,inchoative,23,syntax,argument_structure,bigram2,-15.951379602854589,-16.97301093624987,TRUE
Name did n't kiss .,-16.984005404955294,-101.90403242973176,bad,inchoative,23,syntax,argument_structure,bigram3,-16.138688416657693,-16.984005404955294,TRUE
Name did n't sit down .,-16.138688416657693,-112.97081891660386,good,inchoative,23,syntax,argument_structure,bigram3,-16.138688416657693,-16.984005404955294,TRUE
Name did n't kiss .,-17.34334632368549,-104.06007794211295,bad,inchoative,23,syntax,argument_structure,bigram4,-16.161189238453197,-17.34334632368549,TRUE
Name did n't sit down .,-16.161189238453197,-113.12832466917239,good,inchoative,23,syntax,argument_structure,bigram4,-16.161189238453197,-17.34334632368549,TRUE
Name did n't kiss .,-17.199380318885922,-103.19628191331553,bad,inchoative,23,syntax,argument_structure,bigram5,-16.149471995211943,-17.199380318885922,TRUE
Name did n't sit down .,-16.149471995211943,-113.04630396648359,good,inchoative,23,syntax,argument_structure,bigram5,-16.149471995211943,-17.199380318885922,TRUE
Name did n't kiss .,-17.143999229474655,-102.86399537684794,bad,inchoative,23,syntax,argument_structure,bigram6,-16.28786978858782,-17.143999229474655,TRUE
Name did n't sit down .,-16.28786978858782,-114.01508852011474,good,inchoative,23,syntax,argument_structure,bigram6,-16.28786978858782,-17.143999229474655,TRUE
Name did n't kiss .,-17.134227847392097,-102.80536708435258,bad,inchoative,23,syntax,argument_structure,bigram7,-16.212659307006426,-17.134227847392097,TRUE
Name did n't sit down .,-16.212659307006426,-113.48861514904499,good,inchoative,23,syntax,argument_structure,bigram7,-16.212659307006426,-17.134227847392097,TRUE
Name did n't kiss .,-17.03730884605712,-102.22385307634272,bad,inchoative,23,syntax,argument_structure,bigram8,-16.07672456179468,-17.03730884605712,TRUE
Name did n't sit down .,-16.07672456179468,-112.53707193256275,good,inchoative,23,syntax,argument_structure,bigram8,-16.07672456179468,-17.03730884605712,TRUE
Name did n't kiss .,-17.091613037106807,-102.54967822264084,bad,inchoative,23,syntax,argument_structure,bigram9,-16.148657382755086,-17.091613037106807,TRUE
Name did n't sit down .,-16.148657382755086,-113.0406016792856,good,inchoative,23,syntax,argument_structure,bigram9,-16.148657382755086,-17.091613037106807,TRUE
Name does care for .,-18.2951443594298,-109.77086615657879,bad,inchoative,256,syntax,argument_structure,bigram1,-17.28213755532425,-18.2951443594298,TRUE
Name does hurt .,-17.28213755532425,-86.41068777662126,good,inchoative,256,syntax,argument_structure,bigram1,-17.28213755532425,-18.2951443594298,TRUE
Name does care for .,-18.47093975187728,-110.82563851126369,bad,inchoative,256,syntax,argument_structure,bigram10,-17.173335823632584,-18.47093975187728,TRUE
Name does hurt .,-17.173335823632584,-85.86667911816292,good,inchoative,256,syntax,argument_structure,bigram10,-17.173335823632584,-18.47093975187728,TRUE
Name does care for .,-18.241940433876582,-109.4516426032595,bad,inchoative,256,syntax,argument_structure,bigram2,-16.957304493233103,-18.241940433876582,TRUE
Name does hurt .,-16.957304493233103,-84.78652246616552,good,inchoative,256,syntax,argument_structure,bigram2,-16.957304493233103,-18.241940433876582,TRUE
Name does care for .,-18.502465893117652,-111.01479535870592,bad,inchoative,256,syntax,argument_structure,bigram3,-17.09577517040085,-18.502465893117652,TRUE
Name does hurt .,-17.09577517040085,-85.47887585200425,good,inchoative,256,syntax,argument_structure,bigram3,-17.09577517040085,-18.502465893117652,TRUE
Name does care for .,-18.630196188470023,-111.78117713082014,bad,inchoative,256,syntax,argument_structure,bigram4,-17.101366357952987,-18.630196188470023,TRUE
