Sentence,LenFacScore,Score,predicted_sent,logprobs,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
Name will watch .,-3.2495837211608887,-16.2479190826416,"what , ? .","[-2.9871325492858887, -5.333516597747803, -7.130455017089844, -0.7963269948959351, -0.00048685140791349113]",good,drop_argument,113,syntax,argument_structure,sample5,-3.2495837211608887,-3.8061363697052,TRUE
Name will go to .,-3.8061363697052,-22.83681869506836,"what , ? ? school","[-2.9871325492858887, -5.333516597747803, -5.601253032684326, -2.499816417694092, -6.4145307540893555, -0.0005687049706466496]",bad,drop_argument,113,syntax,argument_structure,sample5,-3.2495837211608887,-3.8061363697052,TRUE
Name will watch .,-3.7212703227996826,-18.606351852416992,"what , n't ?","[-3.349701166152954, -5.8057756423950195, -6.800246715545654, -2.6501619815826416, -0.00046623803791590035]",good,drop_argument,113,syntax,argument_structure,sample6,-3.7212703227996826,-3.599379301071167,FALSE
Name will go to .,-3.599379301071167,-21.596275329589844,"what , n't . Name","[-3.349701166152954, -5.8057756423950195, -5.581520080566406, -2.2939345836639404, -4.5648016929626465, -0.000542612629942596]",bad,drop_argument,113,syntax,argument_structure,sample6,-3.7212703227996826,-3.599379301071167,FALSE
Name will watch .,-3.8030097484588623,-19.01504898071289,"what , read the","[-3.405649185180664, -5.397249221801758, -7.286027431488037, -2.9252772331237793, -0.0008448368753306568]",good,drop_argument,113,syntax,argument_structure,sample7,-3.8030097484588623,-3.808527231216431,TRUE
Name will go to .,-3.808527231216431,-22.851163864135742,"what , read get school","[-3.405649185180664, -5.397249221801758, -4.476912498474121, -2.0140368938446045, -7.556539535522461, -0.0007752750534564257]",bad,drop_argument,113,syntax,argument_structure,sample7,-3.8030097484588623,-3.808527231216431,TRUE
Name will watch .,-3.9283249378204346,-19.641624450683594,"what , n't .","[-3.1054515838623047, -5.9057135581970215, -8.882379531860352, -1.7475887537002563, -0.0004919749335385859]",good,drop_argument,113,syntax,argument_structure,sample8,-3.9283249378204346,-3.708053827285767,FALSE
Name will go to .,-3.708053827285767,-22.248323440551758,"what , n't to sleep","[-3.1054515838623047, -5.9057135581970215, -5.467310905456543, -1.6439076662063599, -6.125290870666504, -0.0006470970110967755]",bad,drop_argument,113,syntax,argument_structure,sample8,-3.9283249378204346,-3.708053827285767,FALSE
Name will watch .,-3.314260959625244,-16.571304321289062,"what , n't .","[-3.224195957183838, -5.471909046173096, -6.34670877456665, -1.5277791023254395, -0.0007120219524949789]",good,drop_argument,113,syntax,argument_structure,sample9,-3.314260959625244,-3.87772536277771,TRUE
Name will go to .,-3.87772536277771,-23.2663516998291,"what , n't in the","[-3.224195957183838, -5.471909046173096, -5.020740509033203, -2.4017200469970703, -7.146810531616211, -0.0009765623253770173]",bad,drop_argument,113,syntax,argument_structure,sample9,-3.314260959625244,-3.87772536277771,TRUE
Name has n't run around .,-3.940265893936157,-27.58186149597168,"what , a that . .","[-3.038832426071167, -4.457264423370361, -4.917809963226318, -7.5850443840026855, -6.474346160888672, -1.1082488298416138, -0.0003146630187984556]",good,drop_argument,127,syntax,argument_structure,sample1,-3.940265893936157,-3.7985951900482178,FALSE
Name has n't gone to .,-3.7985951900482178,-26.590166091918945,"what , a that to be","[-3.038832426071167, -4.457264423370361, -4.917809963226318, -8.103097915649414, -0.8914791941642761, -5.181242942810059, -0.00043883229955099523]",bad,drop_argument,127,syntax,argument_structure,sample1,-3.940265893936157,-3.7985951900482178,FALSE
Name has n't run around .,-3.915162324905396,-27.40613555908203,"what , a ? over and","[-3.5443806648254395, -3.707185983657837, -5.544022560119629, -7.935664176940918, -5.2356367111206055, -1.4389230012893677, -0.0003234816831536591]",good,drop_argument,127,syntax,argument_structure,sample10,-3.915162324905396,-4.178080558776856,TRUE
Name has n't gone to .,-4.178080558776856,-29.246564865112305,"what , a ? ? Name","[-3.5443806648254395, -3.707185983657837, -5.544022560119629, -7.807507038116455, -3.0341062545776367, -5.608478546142578, -0.0008841419476084411]",bad,drop_argument,127,syntax,argument_structure,sample10,-3.915162324905396,-4.178080558776856,TRUE
Name has n't run around .,-3.995529174804688,-27.968704223632812,"what , a any over here","[-3.3328781127929688, -4.262863636016846, -5.896886825561523, -6.417295455932617, -5.65268611907959, -2.4050912857055664, -0.0010027624666690826]",good,drop_argument,127,syntax,argument_structure,sample2,-3.995529174804688,-4.353687286376953,TRUE
Name has n't gone to .,-4.353687286376953,-30.475811004638672,"what , a any ? play","[-3.3328781127929688, -4.262863636016846, -5.896886825561523, -8.109686851501465, -3.3208837509155273, -5.55188512802124, -0.0007269124034792185]",bad,drop_argument,127,syntax,argument_structure,sample2,-3.995529174804688,-4.353687286376953,TRUE
Name has n't run around .,-3.4717555046081543,-24.302288055419922,what . a . to .,"[-3.209115743637085, -3.4550068378448486, -5.517991065979004, -5.466054439544678, -5.410053253173828, -1.2437691688537598, -0.0002971446083392948]",good,drop_argument,127,syntax,argument_structure,sample3,-3.4717555046081543,-3.3059229850769043,FALSE
Name has n't gone to .,-3.3059229850769043,-23.141460418701172,what . a . . .,"[-3.209115743637085, -3.4550068378448486, -5.517991065979004, -7.182513236999512, -1.2666776180267334, -2.5095086097717285, -0.0006478118011727929]",bad,drop_argument,127,syntax,argument_structure,sample3,-3.4717555046081543,-3.3059229850769043,FALSE
Name has n't run around .,-4.036710262298584,-28.256973266601562,"what , a a , on","[-3.3675284385681152, -3.868361234664917, -4.487697124481201, -5.784479141235352, -7.972048282623291, -2.776185989379883, -0.0006736631621606648]",good,drop_argument,127,syntax,argument_structure,sample4,-4.036710262298584,-3.9303033351898193,FALSE
Name has n't gone to .,-3.9303033351898193,-27.512123107910156,"what , a a to the","[-3.3675284385681152, -3.868361234664917, -4.487697124481201, -10.471435546875, -1.1329632997512817, -4.183493614196777, -0.000644237850792706]",bad,drop_argument,127,syntax,argument_structure,sample4,-4.036710262298584,-3.9303033351898193,FALSE
Name has n't run around .,-3.787044048309326,-26.509307861328125,"what , a . . .","[-2.9871325492858887, -4.026054859161377, -6.093020439147949, -6.734574317932129, -5.45517110824585, -1.2129619121551514, -0.0003947432560380548]",good,drop_argument,127,syntax,argument_structure,sample5,-3.787044048309326,-3.711790800094605,FALSE
Name has n't gone to .,-3.711790800094605,-25.98253631591797,"what , a . . get","[-2.9871325492858887, -4.026054859161377, -6.093020439147949, -7.790251731872559, -1.3391246795654297, -3.7463114261627197, -0.0006393534131348133]",bad,drop_argument,127,syntax,argument_structure,sample5,-3.787044048309326,-3.711790800094605,FALSE
Name has n't run around .,-3.856748104095459,-26.997236251831055,"what , a a on .","[-3.349701166152954, -3.5318338871002197, -6.040029048919678, -5.386173248291016, -7.0320892333984375, -1.6568150520324707, -0.0005957497633062303]",good,drop_argument,127,syntax,argument_structure,sample6,-3.856748104095459,-3.9944329261779785,TRUE
Name has n't gone to .,-3.9944329261779785,-27.961030960083008,"what , a a ? get","[-3.349701166152954, -3.5318338871002197, -6.040029048919678, -9.076240539550781, -2.1763103008270264, -3.7863850593566895, -0.0005303407087922096]",bad,drop_argument,127,syntax,argument_structure,sample6,-3.856748104095459,-3.9944329261779785,TRUE
Name has n't run around .,-4.007900238037109,-28.055301666259766,"what , a . . .","[-3.405649185180664, -3.2062482833862305, -7.186225414276123, -6.720328330993652, -7.233257293701172, -0.30283722281455994, -0.0007558587822131813]",good,drop_argument,127,syntax,argument_structure,sample7,-4.007900238037109,-4.526561737060547,TRUE
Name has n't gone to .,-4.526561737060547,-31.685932159423828,"what , a . . .","[-3.405649185180664, -3.2062482833862305, -7.186225414276123, -9.609650611877441, -6.570620536804199, -1.7066404819488525, -0.0008968859910964966]",bad,drop_argument,127,syntax,argument_structure,sample7,-4.007900238037109,-4.526561737060547,TRUE
Name has n't run around .,-3.712259292602539,-25.985815048217773,"what , a like out .","[-3.1054515838623047, -4.000607013702393, -5.2802839279174805, -5.538808822631836, -6.189802169799805, -1.870558738708496, -0.0003040566807612777]",good,drop_argument,127,syntax,argument_structure,sample8,-3.712259292602539,-3.3101582527160645,FALSE
Name has n't gone to .,-3.3101582527160645,-23.17110824584961,"what , a like to Name","[-3.1054515838623047, -4.000607013702393, -5.2802839279174805, -7.799056053161621, -0.3421027660369873, -2.6432454586029053, -0.00036054308293387294]",bad,drop_argument,127,syntax,argument_structure,sample8,-3.712259292602539,-3.3101582527160645,FALSE
Name has n't run around .,-3.425957202911377,-23.981700897216797,"what , a finished over .","[-3.224195957183838, -3.634328842163086, -4.6943817138671875, -6.609982490539551, -5.531087398529053, -0.2871197462081909, -0.0006052807439118624]",good,drop_argument,127,syntax,argument_structure,sample9,-3.425957202911377,-3.4212238788604736,FALSE
Name has n't gone to .,-3.4212238788604736,-23.948566436767578,"what , a finished to get","[-3.224195957183838, -3.634328842163086, -4.6943817138671875, -7.979549407958984, -0.45024722814559937, -3.965303421020508, -0.0005589353386312723]",bad,drop_argument,127,syntax,argument_structure,sample9,-3.425957202911377,-3.4212238788604736,FALSE
a son of Name should n't work with .,-5.458629608154297,-54.58629608154297,what what ? what ? ? ? ? you,"[-4.398867607116699, -10.054520606994629, -4.396994590759277, -4.085604667663574, -10.672600746154785, -5.565475940704346, -4.650901794433594, -6.09730339050293, -4.66362190246582, -0.0004017737810499966]",bad,drop_argument,144,syntax,argument_structure,sample1,-5.863320827484131,-5.458629608154297,FALSE
a son of Name should n't leave .,-5.863320827484131,-52.7698860168457,what what ? what ? ? ? you,"[-4.398867607116699, -10.054520606994629, -4.396994590759277, -4.085604667663574, -10.672600746154785, -5.565475940704346, -7.258213043212891, -6.337015628814697, -0.0005936052766628563]",good,drop_argument,144,syntax,argument_structure,sample1,-5.863320827484131,-5.458629608154297,FALSE
a son of Name should n't work with .,-5.620392799377441,-56.20392608642578,what what ? the . you you ? that,"[-4.025218486785889, -11.504738807678223, -7.0568766593933105, -2.973726511001587, -8.687774658203125, -3.1901378631591797, -5.700852870941162, -7.577032566070557, -5.486406326293945, -0.001158162602223456]",bad,drop_argument,144,syntax,argument_structure,sample10,-5.5795745849609375,-5.620392799377441,TRUE
a son of Name should n't leave .,-5.5795745849609375,-50.21617126464844,what what ? the . you you it,"[-4.025218486785889, -11.504738807678223, -7.0568766593933105, -2.973726511001587, -8.687774658203125, -3.1901378631591797, -6.321155071258545, -6.454748153686523, -0.0017947532469406724]",good,drop_argument,144,syntax,argument_structure,sample10,-5.5795745849609375,-5.620392799377441,TRUE
a son of Name should n't work with .,-5.051986217498779,-50.51986312866211,what what . the . . . ? it,"[-4.430140495300293, -11.738393783569336, -7.0987629890441895, -3.693953514099121, -7.956644535064697, -3.201694965362549, -4.329328536987305, -4.372530937194824, -3.6973042488098145, -0.0011079132091253996]",bad,drop_argument,144,syntax,argument_structure,sample2,-5.440532684326172,-5.051986217498779,FALSE
a son of Name should n't leave .,-5.440532684326172,-48.96479415893555,what what . the . . . it,"[-4.430140495300293, -11.738393783569336, -7.0987629890441895, -3.693953514099121, -7.956644535064697, -3.201694965362549, -6.690890312194824, -4.153072357177734, -0.0012406755704432726]",good,drop_argument,144,syntax,argument_structure,sample2,-5.440532684326172,-5.051986217498779,FALSE
a son of Name should n't work with .,-5.437452793121338,-54.37452697753906,what little . the . . . . you,"[-4.351625442504883, -12.275487899780273, -4.802620887756348, -2.9065768718719482, -9.001396179199219, -4.60950231552124, -5.170222282409668, -9.306343078613281, -1.9501808881759644, -0.0005689432728104293]",bad,drop_argument,144,syntax,argument_structure,sample3,-5.247034072875977,-5.437452793121338,TRUE
a son of Name should n't leave .,-5.247034072875977,-47.223304748535156,what little . the . . . .,"[-4.351625442504883, -12.275487899780273, -4.802620887756348, -2.9065768718719482, -9.001396179199219, -4.60950231552124, -8.184186935424805, -1.091239094734192, -0.0006705658161081374]",good,drop_argument,144,syntax,argument_structure,sample3,-5.247034072875977,-5.437452793121338,TRUE
a son of Name should n't work with .,-5.031974792480469,-50.31974792480469,what little . what . . you . you,"[-4.314018726348877, -11.63614273071289, -5.934325218200684, -2.942667007446289, -8.425274848937988, -3.4932453632354736, -4.6951775550842285, -5.321505546569824, -3.556692600250244, -0.0006967739318497479]",bad,drop_argument,144,syntax,argument_structure,sample4,-5.1086039543151855,-5.031974792480469,FALSE
a son of Name should n't leave .,-5.1086039543151855,-45.97743606567383,what little . what . . you it,"[-4.314018726348877, -11.63614273071289, -5.934325218200684, -2.942667007446289, -8.425274848937988, -3.4932453632354736, -5.049833297729492, -4.180408477783203, -0.0015237637562677264]",good,drop_argument,144,syntax,argument_structure,sample4,-5.1086039543151855,-5.031974792480469,FALSE
a son of Name should n't work with .,-5.3254075050354,-53.25407409667969,what Name ? the ? you you ? you,"[-4.192211627960205, -11.54278564453125, -4.29202938079834, -2.686180591583252, -9.864218711853027, -3.8935699462890625, -5.297021865844727, -6.922896862030029, -4.562662124633789, -0.0004957877099514008]",bad,drop_argument,144,syntax,argument_structure,sample5,-5.363922595977783,-5.3254075050354,FALSE
a son of Name should n't leave .,-5.363922595977783,-48.27530288696289,what Name ? the ? you you you,"[-4.192211627960205, -11.54278564453125, -4.29202938079834, -2.686180591583252, -9.864218711853027, -3.8935699462890625, -7.899562358856201, -3.9043588638305664, -0.0003871168300975114]",good,drop_argument,144,syntax,argument_structure,sample5,-5.363922595977783,-5.3254075050354,FALSE
a son of Name should n't work with .,-5.470469951629639,-54.7047004699707,what what ? a ? . have ? a,"[-4.07696533203125, -10.591195106506348, -7.593994617462158, -2.748610734939575, -9.46174430847168, -5.081299781799316, -4.787267684936523, -4.991490364074707, -5.371547698974609, -0.000582525331992656]",bad,drop_argument,144,syntax,argument_structure,sample6,-5.843469619750977,-5.470469951629639,FALSE
a son of Name should n't leave .,-5.843469619750977,-52.591224670410156,what what ? a ? . have it,"[-4.07696533203125, -10.591195106506348, -7.593994617462158, -2.748610734939575, -9.46174430847168, -5.081299781799316, -7.368180274963379, -5.668327808380127, -0.0009082006872631609]",good,drop_argument,144,syntax,argument_structure,sample6,-5.843469619750977,-5.470469951629639,FALSE
a son of Name should n't work with .,-4.619471549987793,-46.19471740722656,what what . the 's . you ? the,"[-4.070566654205322, -12.322450637817383, -3.839380979537964, -3.6528637409210205, -7.078819274902344, -2.969968795776367, -5.25673246383667, -3.1761913299560547, -3.827322006225586, -0.0004215544031467289]",bad,drop_argument,144,syntax,argument_structure,sample7,-4.750812530517578,-4.619471549987793,FALSE
a son of Name should n't leave .,-4.750812530517578,-42.7573127746582,what what . the 's . you you,"[-4.070566654205322, -12.322450637817383, -3.839380979537964, -3.6528637409210205, -7.078819274902344, -2.969968795776367, -6.08256196975708, -2.7400360107421875, -0.0006630606367252767]",good,drop_argument,144,syntax,argument_structure,sample7,-4.750812530517578,-4.619471549987793,FALSE
a son of Name should n't work with .,-5.258656978607178,-52.586570739746094,what what ? what ? ? ? ? it,"[-4.174904823303223, -11.452366828918457, -4.40094518661499, -4.40576171875, -11.383684158325195, -2.5095272064208984, -5.240696907043457, -4.849530220031738, -4.1684136390686035, -0.000742398202419281]",bad,drop_argument,144,syntax,argument_structure,sample8,-5.576272010803223,-5.258656978607178,FALSE
a son of Name should n't leave .,-5.576272010803223,-50.18644714355469,what what ? what ? ? ? ?,"[-4.174904823303223, -11.452366828918457, -4.40094518661499, -4.40576171875, -11.383684158325195, -2.5095272064208984, -7.5758867263793945, -4.282954216003418, -0.00041869457345455885]",good,drop_argument,144,syntax,argument_structure,sample8,-5.576272010803223,-5.258656978607178,FALSE
a son of Name should n't work with .,-5.277080059051514,-52.77080154418945,what what ? a 's be you ? you,"[-4.060761451721191, -13.682493209838867, -6.199070453643799, -2.7761402130126953, -7.846683979034424, -4.003599643707275, -4.386112689971924, -3.689142942428589, -6.126343250274658, -0.00045503751607611775]",bad,drop_argument,144,syntax,argument_structure,sample9,-5.7342705726623535,-5.277080059051514,FALSE
a son of Name should n't leave .,-5.7342705726623535,-51.608436584472656,what what ? a 's be you you,"[-4.060761451721191, -13.682493209838867, -6.199070453643799, -2.7761402130126953, -7.846683979034424, -4.003599643707275, -6.359189033508301, -6.679168701171875, -0.0013275867095217109]",good,drop_argument,144,syntax,argument_structure,sample9,-5.7342705726623535,-5.277080059051514,FALSE
Name went to .,-3.5635581016540527,-17.817790985107422,"what , to the","[-3.038832426071167, -6.955713748931885, -1.5501164197921753, -6.272782325744629, -0.00034540885826572776]",bad,drop_argument,145,syntax,argument_structure,sample1,-4.4915852546691895,-3.5635581016540527,FALSE
Name helps .,-4.4915852546691895,-17.966341018676758,"what , the","[-3.038832426071167, -12.430398941040039, -2.496729850769043, -0.0003793711948674172]",good,drop_argument,145,syntax,argument_structure,sample1,-4.4915852546691895,-3.5635581016540527,FALSE
Name went to .,-3.2542724609375,-16.2713623046875,"what , to Name","[-3.5443806648254395, -6.051719665527344, -0.9714030623435974, -5.702968597412109, -0.0008893824997358024]",bad,drop_argument,145,syntax,argument_structure,sample10,-4.383890151977539,-3.2542724609375,FALSE
Name helps .,-4.383890151977539,-17.535560607910156,"what , what","[-3.5443806648254395, -10.05974292755127, -3.9307687282562256, -0.0006679449579678476]",good,drop_argument,145,syntax,argument_structure,sample10,-4.383890151977539,-3.2542724609375,FALSE
Name went to .,-2.923081636428833,-14.615407943725586,"what , to the","[-3.3328781127929688, -6.287596702575684, -0.7578890323638916, -4.236150741577148, -0.0008933129138313234]",bad,drop_argument,145,syntax,argument_structure,sample2,-4.263428688049316,-2.923081636428833,FALSE
Name helps .,-4.263428688049316,-17.053714752197266,"what , to","[-3.3328781127929688, -11.01063346862793, -2.7094316482543945, -0.0007702721050009131]",good,drop_argument,145,syntax,argument_structure,sample2,-4.263428688049316,-2.923081636428833,FALSE
Name went to .,-2.770089626312256,-13.850448608398438,what . to Name,"[-3.209115743637085, -6.124831199645996, -0.23649877309799194, -4.279540538787842, -0.0004624251159839332]",bad,drop_argument,145,syntax,argument_structure,sample3,-5.442775249481201,-2.770089626312256,FALSE
Name helps .,-5.442775249481201,-21.771100997924805,what . the,"[-3.209115743637085, -15.258807182312012, -3.302805185317993, -0.0003734129713848233]",good,drop_argument,145,syntax,argument_structure,sample3,-5.442775249481201,-2.770089626312256,FALSE
Name went to .,-3.3863959312438965,-16.93198013305664,"what , to Name","[-3.3675284385681152, -7.308074951171875, -0.5288065075874329, -5.7268757820129395, -0.0006943913758732378]",bad,drop_argument,145,syntax,argument_structure,sample4,-4.479361534118652,-3.3863959312438965,FALSE
Name helps .,-4.479361534118652,-17.91744613647461,"what , the","[-3.3675284385681152, -11.264813423156738, -3.284109115600586, -0.0009957361035048962]",good,drop_argument,145,syntax,argument_structure,sample4,-4.479361534118652,-3.3863959312438965,FALSE
Name went to .,-3.379636287689209,-16.898181915283203,"what , to Name","[-2.9871325492858887, -6.183926582336426, -0.4162721037864685, -7.310318946838379, -0.0005306981038302183]",bad,drop_argument,145,syntax,argument_structure,sample5,-4.147067070007324,-3.379636287689209,FALSE
Name helps .,-4.147067070007324,-16.588268280029297,"what , to","[-2.9871325492858887, -11.029763221740723, -2.5709052085876465, -0.00046695294440723956]",good,drop_argument,145,syntax,argument_structure,sample5,-4.147067070007324,-3.379636287689209,FALSE
Name went to .,-3.0341408252716064,-15.170703887939453,"what , to Name","[-3.349701166152954, -5.811773300170898, -0.5470187067985535, -5.461556434631348, -0.0006536492728628218]",bad,drop_argument,145,syntax,argument_structure,sample6,-5.009633541107178,-3.0341408252716064,FALSE
Name helps .,-5.009633541107178,-20.03853416442871,"what , the","[-3.349701166152954, -10.248687744140625, -6.43955659866333, -0.0005901502445340157]",good,drop_argument,145,syntax,argument_structure,sample6,-5.009633541107178,-3.0341408252716064,FALSE
Name went to .,-3.6499485969543457,-18.24974250793457,"what , to the","[-3.405649185180664, -7.010845184326172, -0.9557812213897705, -6.87651252746582, -0.0009545299108140171]",bad,drop_argument,145,syntax,argument_structure,sample7,-4.598496913909912,-3.6499485969543457,FALSE
Name helps .,-4.598496913909912,-18.39398765563965,"what , the","[-3.405649185180664, -10.720252990722656, -4.267441272735596, -0.000645429186988622]",good,drop_argument,145,syntax,argument_structure,sample7,-4.598496913909912,-3.6499485969543457,FALSE
Name went to .,-4.00954532623291,-20.047725677490234,"what , to the","[-3.1054515838623047, -7.468793869018555, -1.3601793050765991, -8.112939834594727, -0.00036149643710814416]",bad,drop_argument,145,syntax,argument_structure,sample8,-5.663242816925049,-4.00954532623291,FALSE
Name helps .,-5.663242816925049,-22.652971267700195,"what , one","[-3.1054515838623047, -16.666990280151367, -2.8802990913391113, -0.0002308817347511649]",good,drop_argument,145,syntax,argument_structure,sample8,-5.663242816925049,-4.00954532623291,FALSE
Name went to .,-3.911446332931519,-19.557231903076172,"what , to Name","[-3.224195957183838, -8.854891777038574, -1.2706966400146484, -6.206630706787109, -0.0008175606490112841]",bad,drop_argument,145,syntax,argument_structure,sample9,-4.278276443481445,-3.911446332931519,FALSE
Name helps .,-4.278276443481445,-17.11310577392578,"what , ?","[-3.224195957183838, -10.444479942321777, -3.443769931793213, -0.0006591292913071811]",good,drop_argument,145,syntax,argument_structure,sample9,-4.278276443481445,-3.911446332931519,FALSE
Name could n't care for .,-5.174205303192139,-36.21943664550781,"what , . you . you","[-3.038832426071167, -7.44609260559082, -2.256897449493408, -12.792430877685547, -6.453699588775635, -4.231192588806152, -0.0002917817619163543]",bad,drop_argument,147,syntax,argument_structure,sample1,-4.1574320793151855,-5.174205303192139,TRUE
Name could n't buy .,-4.1574320793151855,-24.944591522216797,"what , . you the","[-3.038832426071167, -7.44609260559082, -2.256897449493408, -7.261467933654785, -4.940783500671387, -0.0005179494037292898]",good,drop_argument,147,syntax,argument_structure,sample1,-4.1574320793151855,-5.174205303192139,TRUE
Name could n't care for .,-4.930011749267578,-34.51008224487305,"what , be be ? you","[-3.5443806648254395, -6.8844757080078125, -2.7809832096099854, -8.583733558654785, -5.470783233642578, -7.245115280151367, -0.0006130246329121292]",bad,drop_argument,147,syntax,argument_structure,sample10,-4.667194366455078,-4.930011749267578,TRUE
Name could n't buy .,-4.667194366455078,-28.00316619873047,"what , be be a","[-3.5443806648254395, -6.8844757080078125, -2.7809832096099854, -7.891526222229004, -6.900942802429199, -0.0008568667690269649]",good,drop_argument,147,syntax,argument_structure,sample10,-4.667194366455078,-4.930011749267578,TRUE
Name could n't care for .,-4.55052661895752,-31.85368537902832,"what , n't put ? you","[-3.3328781127929688, -8.38164234161377, -2.5445122718811035, -7.238980770111084, -5.066274166107178, -5.288778781890869, -0.0006188622792251408]",bad,drop_argument,147,syntax,argument_structure,sample2,-4.749940395355225,-4.55052661895752,FALSE
Name could n't buy .,-4.749940395355225,-28.49964141845703,"what , n't put that","[-3.3328781127929688, -8.38164234161377, -2.5445122718811035, -8.846166610717773, -5.390480995178223, -0.003961098380386829]",good,drop_argument,147,syntax,argument_structure,sample2,-4.749940395355225,-4.55052661895752,FALSE
Name could n't care for .,-4.703822135925293,-32.926753997802734,what . be play ? you,"[-3.209115743637085, -6.797214508056641, -2.5601205825805664, -7.894516944885254, -6.3174848556518555, -6.1477274894714355, -0.0005765683017671108]",bad,drop_argument,147,syntax,argument_structure,sample3,-4.359366416931152,-4.703822135925293,TRUE
Name could n't buy .,-4.359366416931152,-26.156198501586914,what . be play that,"[-3.209115743637085, -6.797214508056641, -2.5601205825805664, -8.529640197753906, -5.058988571166992, -0.0011182728921994567]",good,drop_argument,147,syntax,argument_structure,sample3,-4.359366416931152,-4.703822135925293,TRUE
Name could n't care for .,-4.851243495941162,-33.95870590209961,"what , be you of you","[-3.3675284385681152, -7.187042236328125, -2.891386032104492, -8.405508995056152, -5.927224159240723, -6.178703784942627, -0.001313300454057753]",bad,drop_argument,147,syntax,argument_structure,sample4,-4.758012294769287,-4.851243495941162,TRUE
Name could n't buy .,-4.758012294769287,-28.548072814941406,"what , be you them","[-3.3675284385681152, -7.187042236328125, -2.891386032104492, -7.175976753234863, -7.924917221069336, -0.0012207920663058758]",good,drop_argument,147,syntax,argument_structure,sample4,-4.758012294769287,-4.851243495941162,TRUE
Name could n't care for .,-4.475216388702393,-31.326515197753906,"what , n't do . you","[-2.9871325492858887, -7.049099445343018, -2.0180797576904297, -9.163113594055176, -6.000029563903809, -4.1085052490234375, -0.0005573864909820259]",bad,drop_argument,147,syntax,argument_structure,sample5,-4.431070804595947,-4.475216388702393,TRUE
Name could n't buy .,-4.431070804595947,-26.58642578125,"what , n't do that","[-2.9871325492858887, -7.049099445343018, -2.0180797576904297, -9.025212287902832, -5.506244659423828, -0.0006562701892107725]",good,drop_argument,147,syntax,argument_structure,sample5,-4.431070804595947,-4.475216388702393,TRUE
Name could n't care for .,-5.107967376708984,-35.75577163696289,"what , you you . you","[-3.349701166152954, -7.682472229003906, -3.776193618774414, -11.045398712158203, -5.9042840003967285, -3.997286081314087, -0.00043561504571698606]",bad,drop_argument,147,syntax,argument_structure,sample6,-4.786576747894287,-5.107967376708984,TRUE
