Sentence,WUGgedSentence,Score,LenFacScore,CleanedParse,GoodBad,Filename,pair_id,field,linguistics_term,Grammar,good_score,bad_score,correct_pair
whose hat should Name wear ?,whose hat should Name wear ?,-33.02884649974883,-5.504807749958139,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.504807749958139,-6.076149926768264,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.456899560609585,-6.076149926768264,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.504807749958139,-6.076149926768264,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-32.121468533643885,-5.353578088940648,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-5.353578088940648,-6.15892674794999,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.95356048769994,-6.15892674794999,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-5.353578088940648,-6.15892674794999,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-32.790772458440934,-5.465128743073489,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.465128743073489,-6.069939926347782,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.41963955808669,-6.069939926347782,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.465128743073489,-6.069939926347782,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-31.928457772076854,-5.321409628679476,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-5.321409628679476,-6.194193096680654,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-37.165158580083926,-6.194193096680654,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-5.321409628679476,-6.194193096680654,TRUE
whose hat should Name wear ?,whose hat should Name wear ?,-32.12325831599029,-5.353876385998382,(ROOT (WHNP (WP$ _whose) (NN _hat)) (SQ (MD _should) (NP _Name) (VP _wear)) (. _?)),good,left_branch_island_simple_question,1,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.353876385998382,-6.06437450524642,TRUE
whose should Name wear hat ?,whose should Name wear hat ?,-36.38624703147852,-6.06437450524642,(ROOT (WHNP _whose) (SQ (MD _should) (NP _Name) (VP (VB _wear) (NP _hat))) (. _?)),bad,left_branch_island_simple_question,1,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.353876385998382,-6.06437450524642,TRUE
what did Name bother lady ?,what did Name bother lady ?,-28.911158383374296,-4.818526397229049,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-4.976287315550777,-4.818526397229049,FALSE
what lady did Name bother ?,what lady did Name bother ?,-29.857723893304662,-4.976287315550777,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-4.976287315550777,-4.818526397229049,FALSE
what did Name bother lady ?,what did Name bother lady ?,-29.402671906977556,-4.900445317829592,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.21322009750781,-4.900445317829592,FALSE
what lady did Name bother ?,what lady did Name bother ?,-31.279320585046857,-5.21322009750781,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.21322009750781,-4.900445317829592,FALSE
what did Name bother lady ?,what did Name bother lady ?,-28.918863407471626,-4.819810567911937,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-4.964317598116121,-4.819810567911937,FALSE
what lady did Name bother ?,what lady did Name bother ?,-29.78590558869673,-4.964317598116121,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-4.964317598116121,-4.819810567911937,FALSE
what did Name bother lady ?,what did Name bother lady ?,-29.134300804575457,-4.855716800762576,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-4.95373378840945,-4.855716800762576,FALSE
what lady did Name bother ?,what lady did Name bother ?,-29.722402730456704,-4.95373378840945,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-4.95373378840945,-4.855716800762576,FALSE
what did Name bother lady ?,what did Name bother lady ?,-29.239197545404892,-4.873199590900815,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-4.976074131039415,-4.873199590900815,FALSE
what lady did Name bother ?,what lady did Name bother ?,-29.856444786236487,-4.976074131039415,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-4.976074131039415,-4.873199590900815,FALSE
what did Name bother lady ?,what did Name bother lady ?,-29.701040914901604,-4.950173485816934,(ROOT (WHNP _what) (VP (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.243268265102737,-4.950173485816934,FALSE
what lady did Name bother ?,what lady did Name bother ?,-31.45960959061642,-5.243268265102737,(ROOT (WHNP (WDT _what) (NN _lady)) (VP (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.243268265102737,-4.950173485816934,FALSE
what did Name bother lady ?,what did Name bother lady ?,-29.123749425070255,-4.853958237511709,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-4.990354133455997,-4.853958237511709,FALSE
what lady did Name bother ?,what lady did Name bother ?,-29.942124800735986,-4.990354133455997,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-4.990354133455997,-4.853958237511709,FALSE
what did Name bother lady ?,what did Name bother lady ?,-28.309182734024787,-4.718197122337465,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.044303768060869,-4.718197122337465,FALSE
what lady did Name bother ?,what lady did Name bother ?,-30.265822608365216,-5.044303768060869,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.044303768060869,-4.718197122337465,FALSE
what did Name bother lady ?,what did Name bother lady ?,-28.903513222996004,-4.817252203832667,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-4.897440172940917,-4.817252203832667,FALSE
what lady did Name bother ?,what lady did Name bother ?,-29.384641037645505,-4.897440172940917,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VP _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-4.897440172940917,-4.817252203832667,FALSE
what did Name bother lady ?,what did Name bother lady ?,-31.27218366938096,-5.212030611563494,(ROOT (WHNP _what) (SQ (AUX _did) (NP _Name) (VP (VB _bother) (NP _lady))) (. _?)),bad,left_branch_island_simple_question,104,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.243952302108718,-5.212030611563494,FALSE
what lady did Name bother ?,what lady did Name bother ?,-31.46371381265231,-5.243952302108718,(ROOT (WHNP (WDT _what) (NN _lady)) (SQ (AUX _did) (NP _Name) (VB _bother)) (. _?)),good,left_branch_island_simple_question,104,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.243952302108718,-5.212030611563494,FALSE
which might Name see hats ?,which might Name see hats ?,-34.97445903024471,-5.829076505040785,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-5.579110042541136,-5.829076505040785,TRUE
which hats might Name see ?,which hats might Name see ?,-33.47466025524682,-5.579110042541136,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-5.579110042541136,-5.829076505040785,TRUE
which might Name see hats ?,which might Name see hats ?,-37.83487225696945,-6.305812042828241,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats)) (. _?))),bad,left_branch_island_simple_question,129,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.950708367838385,-6.305812042828241,TRUE
which hats might Name see ?,which hats might Name see ?,-35.70425020703031,-5.950708367838385,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see) (. _?))),good,left_branch_island_simple_question,129,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.950708367838385,-6.305812042828241,TRUE
which might Name see hats ?,which might Name see hats ?,-35.81255003555726,-5.968758339259543,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-5.632444344089123,-5.968758339259543,TRUE
which hats might Name see ?,which hats might Name see ?,-33.79466606453474,-5.632444344089123,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-5.632444344089123,-5.968758339259543,TRUE
which might Name see hats ?,which might Name see hats ?,-37.23367351708833,-6.205612252848055,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-5.9117504065353605,-6.205612252848055,TRUE
which hats might Name see ?,which hats might Name see ?,-35.47050243921216,-5.9117504065353605,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-5.9117504065353605,-6.205612252848055,TRUE
which might Name see hats ?,which might Name see hats ?,-35.88814152892377,-5.981356921487294,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-5.796315821199865,-5.981356921487294,TRUE
which hats might Name see ?,which hats might Name see ?,-34.77789492719919,-5.796315821199865,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-5.796315821199865,-5.981356921487294,TRUE
which might Name see hats ?,which might Name see hats ?,-36.35130938601657,-6.058551564336095,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.900209563609235,-6.058551564336095,TRUE
which hats might Name see ?,which hats might Name see ?,-35.40125738165541,-5.900209563609235,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.900209563609235,-6.058551564336095,TRUE
which might Name see hats ?,which might Name see hats ?,-36.164654679694564,-6.027442446615761,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-5.801270739269555,-6.027442446615761,TRUE
which hats might Name see ?,which hats might Name see ?,-34.80762443561733,-5.801270739269555,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-5.801270739269555,-6.027442446615761,TRUE
which might Name see hats ?,which might Name see hats ?,-35.00704133479759,-5.834506889132932,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.63201774886107,-5.834506889132932,TRUE
which hats might Name see ?,which hats might Name see ?,-33.79210649316642,-5.63201774886107,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.63201774886107,-5.834506889132932,TRUE
which might Name see hats ?,which might Name see hats ?,-36.37690649846209,-6.062817749743682,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-5.746709273205471,-6.062817749743682,TRUE
which hats might Name see ?,which hats might Name see ?,-34.48025563923282,-5.746709273205471,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-5.746709273205471,-6.062817749743682,TRUE
which might Name see hats ?,which might Name see hats ?,-35.49182697794106,-5.91530449632351,(ROOT (WHNP _which) (SQ (MD _might) (NP _Name) (VP (VB _see) (NP _hats))) (. _?)),bad,left_branch_island_simple_question,129,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.712571234449051,-5.91530449632351,TRUE
which hats might Name see ?,which hats might Name see ?,-34.275427406694305,-5.712571234449051,(ROOT (WHNP (WDT _which) (NNS _hats)) (SQ (MD _might) (NP _Name) (VP _see)) (. _?)),good,left_branch_island_simple_question,129,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.712571234449051,-5.91530449632351,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-33.98915437767272,-5.664859062945453,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-5.664859062945453,-6.533258011724599,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-39.199548070347596,-6.533258011724599,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-5.664859062945453,-6.533258011724599,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-34.79463519229008,-5.79910586538168,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.79910586538168,-6.486457846798739,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-38.918747080792436,-6.486457846798739,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-5.79910586538168,-6.486457846798739,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-32.998255688785896,-5.499709281464316,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-5.499709281464316,-6.378465434028829,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-38.270792604172975,-6.378465434028829,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample2_PCFG.0.FG-output.rank-1,-5.499709281464316,-6.378465434028829,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-32.666539488791074,-5.444423248131845,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-5.444423248131845,-6.320529724699515,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-37.92317834819709,-6.320529724699515,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample3_PCFG.0.FG-output.rank-1,-5.444423248131845,-6.320529724699515,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-32.8078893910721,-5.467981565178683,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-5.467981565178683,-6.317442603629606,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-37.904655621777636,-6.317442603629606,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample4_PCFG.0.FG-output.rank-1,-5.467981565178683,-6.317442603629606,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-34.19724440989808,-5.699540734983014,(ROOT (WHNP (WP$ _whose) (NN _hair)) (VP (VBD _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.699540734983014,-6.555186265145127,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-39.33111759087076,-6.555186265145127,(ROOT (WHNP _whose) (VP (VBD _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample5_PCFG.0.FG-output.rank-1,-5.699540734983014,-6.555186265145127,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-33.11994372415462,-5.519990620692437,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-5.519990620692437,-6.567249361043287,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-39.40349616625972,-6.567249361043287,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample6_PCFG.0.FG-output.rank-1,-5.519990620692437,-6.567249361043287,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-33.18247737185533,-5.5304128953092215,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.5304128953092215,-6.4298485177131495,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-38.579091106278895,-6.4298485177131495,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample7_PCFG.0.FG-output.rank-1,-5.5304128953092215,-6.4298485177131495,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-33.00430369178504,-5.500717281964174,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-5.500717281964174,-6.53149075530549,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-39.18894453183294,-6.53149075530549,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample8_PCFG.0.FG-output.rank-1,-5.500717281964174,-6.53149075530549,TRUE
whose hair had Name seen ?,whose hair had Name seen ?,-35.210608938843535,-5.868434823140589,(ROOT (WHNP (WP$ _whose) (NN _hair)) (SQ (AUX _had) (NP _Name) (VP _seen)) (. _?)),good,left_branch_island_simple_question,134,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.868434823140589,-6.769477441840344,TRUE
whose had Name seen hair ?,whose had Name seen hair ?,-40.616864651042064,-6.769477441840344,(ROOT (WHNP _whose) (SQ (AUX _had) (NP _Name) (VP (VBN _seen) (NP _hair))) (. _?)),bad,left_branch_island_simple_question,134,syntax,island_effects,sample9_PCFG.0.FG-output.rank-1,-5.868434823140589,-6.769477441840344,TRUE
what driver does Name help ?,what driver does Name help ?,-29.076326567718795,-4.846054427953132,(ROOT (WHNP (WDT _what) (NN _driver)) (SQ (AUX _does) (NP _Name) (VP _help)) (. _?)),good,left_branch_island_simple_question,136,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-4.846054427953132,-4.670551796537339,FALSE
what does Name help driver ?,what does Name help driver ?,-28.023310779224033,-4.670551796537339,(ROOT (WHNP _what) (SQ (AUX _does) (NP _Name) (VP (VB _help) (NP _driver))) (. _?)),bad,left_branch_island_simple_question,136,syntax,island_effects,sample1_PCFG.0.FG-output.rank-1,-4.846054427953132,-4.670551796537339,FALSE
what driver does Name help ?,what driver does Name help ?,-29.78328540716844,-4.96388090119474,(ROOT (WHNP (WDT _what) (NN _driver)) (SQ (AUX _does) (NP _Name) (VP _help)) (. _?)),good,left_branch_island_simple_question,136,syntax,island_effects,sample10_PCFG.0.FG-output.rank-1,-4.96388090119474,-4.641591735867839,FALSE
